Subject Number,Stimulus Feature,Congruency,Key Press,Reaction Time,Accuracy
1,4,2,2,0.62456,1
1,4,2,2,0.46418,1
1,3,2,1,0.79232,1
1,2,2,1,0.85722,1
1,2,2,1,0.43696,1
1,1,2,2,0.47154,1
1,4,2,2,0.68769,1
1,1,2,2,0.49856,1
1,2,2,1,0.62521,1
1,1,2,1,0.61099,0
1,3,2,1,0.64511,1
1,4,2,2,0.56399,1
1,4,2,2,0.5249,1
1,3,2,1,0.55865,1
1,1,2,2,0.63644,1
1,3,2,1,0.58944,1
1,1,2,2,0.61933,1
1,2,2,1,0.63008,1
1,3,2,1,0.63398,1
1,4,2,2,0.51884,1
1,3,2,1,0.4858,1
1,4,2,2,0.51342,1
1,4,2,2,0.67129,1
1,2,2,2,0.61432,0
1,2,2,1,0.54504,1
1,4,2,2,0.63689,1
1,3,2,1,0.4899,1
1,4,2,2,0.62778,1
1,4,2,2,0.59174,1
1,2,2,2,0.69758,0
1,4,2,1,0.62946,0
1,2,2,1,1.0113,1
1,3,2,1,0.50407,1
1,4,2,2,0.60598,1
1,3,2,1,0.55988,1
1,4,2,2,0.55085,1
1,1,2,1,0.49859,0
1,2,2,1,0.53959,1
1,2,2,1,0.52819,1
1,4,2,2,0.49923,1
1,3,2,1,0.58094,1
1,2,2,1,1.105,1
1,1,2,2,0.69681,1
1,4,2,2,0.60063,1
1,4,2,2,0.52433,1
1,1,2,2,1.0644,1
1,4,2,2,0.62304,1
1,3,2,1,0.59278,1
1,1,2,2,0.786,1
1,4,2,2,0.58179,1
1,3,2,2,0.51172,0
1,4,2,2,0.62233,1
1,1,2,2,0.75029,1
1,4,2,2,0.60721,1
1,3,2,1,0.54179,1
1,3,2,1,0.5317,1
1,2,2,2,0.62067,0
1,1,2,1,0.49445,0
1,1,2,2,0.42244,1
1,3,2,1,0.73631,1
1,3,2,1,0.46526,1
1,3,2,1,0.51299,1
1,2,2,1,0.90664,1
1,2,2,1,0.43871,1
1,1,2,2,0.5775,1
1,2,2,1,0.6613,1
1,3,2,1,0.60498,1
1,4,2,2,0.63319,1
1,2,2,1,0.95497,1
1,1,2,2,0.65575,1
1,2,2,1,0.84653,1
1,4,2,2,0.61846,1
1,4,2,2,0.61719,1
1,1,2,2,1.1001,1
1,3,2,1,0.59778,1
1,4,2,2,0.60182,1
1,1,2,2,0.71056,1
1,3,2,1,0.6136,1
1,3,2,1,0.52041,1
1,3,2,1,0.60838,1
1,2,2,2,0.57815,0
1,3,2,1,0.57404,1
1,1,2,2,0.70884,1
1,2,2,1,0.76587,1
1,2,2,1,0.46466,1
1,3,2,1,0.54461,1
1,3,2,1,0.46355,1
1,3,2,1,0.44729,1
1,1,2,2,0.64694,1
1,3,2,1,0.56765,1
1,3,2,1,0.4889,1
1,1,2,2,0.53959,1
1,1,2,2,0.4565,1
1,2,2,1,0.50719,1
1,1,2,2,0.58615,1
1,3,2,1,0.71292,1
1,4,2,2,0.52988,1
1,1,2,2,0.45677,1
1,4,2,2,0.70954,1
1,3,2,1,0.63545,1
1,4,2,2,0.52127,1
1,4,1,2,0.59094,1
1,4,1,1,0.48699,0
1,3,1,1,0.63064,1
1,3,1,1,0.53662,1
1,1,1,2,0.6536,0
1,3,1,1,1.5803,1
1,3,1,1,0.46381,1
1,1,1,1,0.49377,1
1,1,1,1,0.46155,1
1,2,1,2,0.52726,1
1,2,1,2,0.47728,1
1,2,1,2,0.49131,1
1,2,1,2,0.46421,1
1,2,1,2,0.44005,1
1,3,1,1,0.531,1
1,2,1,1,0.4558,0
1,4,1,2,0.60973,1
1,2,1,2,0.7195,1
1,1,1,1,0.59333,1
1,4,1,2,0.58807,1
1,4,1,2,0.51901,1
1,2,1,2,1.1588,1
1,4,1,2,0.50572,1
1,2,1,2,0.45651,1
1,1,1,1,0.50314,1
1,4,1,2,0.46828,1
1,1,1,1,0.43311,1
1,1,1,1,0.48599,1
1,3,1,1,0.47672,1
1,4,1,2,0.49674,1
1,2,1,2,0.70367,1
1,4,1,2,0.43934,1
1,2,1,2,0.51135,1
1,2,1,2,0.4213,1
1,2,1,2,0.42211,1
1,2,1,2,0.48596,1
1,1,1,1,0.62732,1
1,4,1,2,0.60216,1
1,3,1,1,0.586,1
1,4,1,2,0.5,1
1,2,1,2,0.6582,1
1,2,1,2,0.47802,1
1,2,1,2,0.45886,1
1,4,1,2,0.58736,1
1,3,1,1,0.51438,1
1,3,1,1,0.47232,1
1,3,1,1,0.47517,1
1,4,1,2,0.55665,1
1,2,1,1,0.52382,0
1,4,1,2,0.45881,1
1,3,1,1,0.53755,1
1,2,1,2,0.51129,1
1,4,1,2,0.6462,1
1,4,1,2,0.4752,1
1,1,1,1,0.45726,1
1,3,1,1,0.57254,1
1,4,1,2,0.57063,1
1,4,1,2,0.43872,1
1,2,1,2,0.54131,1
1,3,1,1,0.48842,1
1,1,1,1,0.48906,1
1,2,1,2,0.5609,1
1,1,1,1,0.61891,1
1,1,1,1,0.44758,1
1,4,1,2,0.52346,1
1,4,1,2,0.56921,1
1,3,1,1,0.61319,1
1,3,1,1,0.43309,1
1,4,1,2,0.45551,1
1,3,1,1,0.63386,1
1,2,1,2,0.65466,1
1,4,1,1,0.51152,0
1,3,1,1,0.57432,1
1,2,1,2,0.52124,1
1,1,1,1,0.65998,1
1,2,1,2,0.51078,1
1,3,1,1,0.6026,1
1,2,1,2,0.87054,1
1,1,1,1,0.57044,1
1,1,1,1,0.51332,1
1,1,1,1,0.47203,1
1,1,1,1,0.44801,1
1,3,1,2,0.59091,0
1,2,1,2,0.5976,1
1,3,1,1,0.54961,1
1,2,1,2,0.70724,1
1,1,1,1,0.56407,1
1,4,1,2,0.58199,1
1,2,1,2,0.97798,1
1,2,1,2,0.50194,1
1,1,1,1,0.56373,1
1,1,1,1,0.43058,1
1,3,1,2,0.52838,0
1,4,1,2,0.49843,1
1,1,1,1,0.53613,1
1,4,1,2,0.51601,1
1,3,1,1,0.56495,1
1,1,1,1,0.44968,1
1,1,1,1,0.45848,1
1,2,1,1,0.45347,0
1,3,1,1,0.58437,1
1,1,1,1,0.52624,1
1,1,1,1,0.44908,1
1,4,1,2,0.513,1
1,3,1,1,0.62774,1
1,3,1,1,0.57369,1
1,3,1,1,0.5376,1
1,3,1,1,0.54846,1
1,1,1,1,0.87838,1
1,4,1,2,0.52709,1
1,1,1,1,0.48501,1
1,1,1,1,0.49485,1
1,2,1,2,0.53754,1
1,2,1,2,0.43765,1
1,3,1,1,0.65652,1
1,4,1,2,0.62339,1
1,4,1,2,0.46146,1
1,4,1,2,0.43754,1
1,4,1,2,0.51027,1
1,4,1,2,0.52891,1
1,4,1,2,0.49105,1
1,2,1,2,0.60169,1
1,3,1,1,0.58854,1
1,3,1,1,0.53431,1
1,3,1,1,0.45485,1
1,3,1,1,0.47951,1
1,1,1,1,0.67397,1
1,1,1,1,0.46682,1
1,1,1,1,0.42967,1
1,2,1,2,0.71943,1
1,3,1,1,0.54742,1
1,1,1,1,0.52009,1
1,2,1,2,0.52497,1
1,2,1,2,0.51781,1
1,3,1,1,0.57762,1
1,1,1,1,0.67953,1
1,4,1,2,0.65749,1
1,3,1,1,0.59137,1
1,4,1,2,0.64011,1
1,1,1,1,0.52998,1
1,4,1,2,0.62394,1
1,4,1,2,0.45635,1
1,1,1,1,0.90043,1
1,4,1,2,0.47138,1
1,3,1,1,0.52533,1
1,2,1,2,0.50016,1
1,3,1,1,0.52203,1
1,3,1,1,0.51779,1
1,2,1,2,0.59265,1
1,2,1,2,0.63041,1
1,4,1,2,0.69435,1
1,4,2,2,0.66828,1
1,2,2,1,0.96438,1
1,4,2,2,0.82211,1
1,4,2,2,0.66992,1
1,3,2,1,0.47585,1
1,1,2,2,0.70779,1
1,3,2,1,0.43117,1
1,2,2,1,0.63635,1
1,4,2,1,0.52824,0
1,4,2,2,0.46836,1
1,3,2,1,0.44271,1
1,4,2,2,0.64596,1
1,1,2,1,0.51192,0
1,2,2,1,0.43353,1
1,1,2,1,0.49148,0
1,3,2,1,1.4103,1
1,4,2,2,0.49125,1
1,2,2,1,0.84608,1
1,4,2,2,0.70477,1
1,2,2,1,1.0067,1
1,2,2,1,0.47063,1
1,2,2,1,0.48348,1
1,4,2,2,0.74527,1
1,1,2,2,0.53604,1
1,4,2,2,0.5132,1
1,3,2,2,0.53994,0
1,4,2,2,0.55678,1
1,1,2,2,0.86565,1
1,2,2,2,1.2566,0
1,1,2,2,1.0784,1
1,2,2,1,0.89226,1
1,3,2,1,0.43495,1
1,1,2,2,0.5089,1
1,3,2,1,0.63587,1
1,2,2,2,0.46773,0
1,2,2,1,0.5094,1
1,4,2,2,0.62032,1
1,4,2,2,0.4892,1
1,2,2,1,0.90623,1
1,3,2,1,0.5158,1
1,3,2,1,0.43036,1
1,3,2,1,0.49458,1
1,4,2,2,0.60126,1
1,4,2,2,0.47557,1
1,4,2,2,0.48593,1
1,1,2,1,0.82821,0
1,1,2,2,0.61211,1
1,1,2,2,0.4287,1
1,2,2,1,1.2217,1
1,2,2,1,0.51869,1
1,3,2,1,0.73345,1
1,4,2,2,0.64032,1
1,2,2,2,0.97902,0
1,2,2,1,0.7049,1
1,2,2,1,0.53687,1
1,1,2,2,0.73256,1
1,3,2,1,0.60463,1
1,3,2,1,0.48255,1
1,2,2,1,0.62436,1
1,3,2,1,0.44354,1
1,4,2,2,0.56401,1
1,1,2,2,0.67287,1
1,2,2,1,0.45268,1
1,3,2,1,0.42726,1
1,1,2,1,0.45336,0
1,3,2,1,0.53543,1
1,1,2,2,0.45715,1
1,3,2,1,0.50205,1
1,1,2,2,0.40181,1
1,3,2,1,0.51087,1
1,2,2,1,0.76669,1
1,1,2,2,0.49531,1
1,3,2,1,0.62741,1
1,2,2,2,0.56822,0
1,4,2,2,0.84204,1
1,4,2,2,0.51084,1
1,4,2,2,0.50773,1
1,1,2,1,0.50567,0
1,3,2,1,0.6445,1
1,4,2,2,0.63036,1
1,4,2,2,0.54215,1
1,2,2,1,0.83001,1
1,2,2,1,0.60194,1
1,4,2,2,0.60756,1
1,4,2,2,0.52757,1
1,1,2,2,0.95857,1
1,1,2,2,0.47027,1
1,1,2,2,0.4803,1
1,3,2,1,0.73697,1
1,2,2,1,0.92282,1
1,3,2,1,0.48204,1
1,3,2,1,0.51462,1
1,1,2,2,0.84542,1
1,3,2,1,0.6692,1
1,1,2,2,0.63224,1
1,2,2,1,0.83515,1
1,4,2,2,0.53889,1
1,1,2,1,0.56866,0
1,3,2,1,0.76068,1
